Date	Province_CN	City_CN	From_Province	From_City	To_Province	To_City	Index
2020-01-07	天津市	天津市	Hubei	Wuhan	Tianjin	Tianjin	0.27
2020-01-07	湖南省	常德市	Hubei	Wuhan	Hunan	Changde	0.24
2020-01-07	海南省	海口市	Hubei	Wuhan	Hainan	Haikou	0.24
2020-01-07	河南省	商丘市	Hubei	Wuhan	Henan	Shangqiu	0.23
2020-01-07	广东省	东莞市	Hubei	Wuhan	Guangdong	Dongguan	0.23
2020-01-07	安徽省	六安市	Hubei	Wuhan	Anhui	Lu'an	0.22
2020-01-07	河北省	石家庄市	Hubei	Wuhan	Hebei	Shijiazhuang	0.22
2020-01-07	福建省	福州市	Hubei	Wuhan	Fujian	Fuzhou	0.22
2020-01-07	湖南省	株洲市	Hubei	Wuhan	Hunan	Zhuzhou	0.22
2020-01-07	山东省	青岛市	Hubei	Wuhan	Shandong	Qingdao	0.22
2020-01-07	河南省	洛阳市	Hubei	Wuhan	Henan	Luoyang	0.22
2020-01-07	江苏省	无锡市	Hubei	Wuhan	Jiangsu	Wuxi	0.21
2020-01-07	福建省	厦门市	Hubei	Wuhan	Fujian	Xiamen	0.21
2020-01-07	湖南省	衡阳市	Hubei	Wuhan	Hunan	Hengyang	0.21
2020-01-07	山东省	济南市	Hubei	Wuhan	Shandong	Jinan	0.21
2020-01-07	浙江省	温州市	Hubei	Wuhan	Zhejiang	Wenzhou	0.2
2020-01-07	广东省	佛山市	Hubei	Wuhan	Guangdong	Foshan	0.2
2020-01-07	黑龙江省	哈尔滨市	Hubei	Wuhan	Heilongjiang	Harbin	0.2
2020-01-07	浙江省	宁波市	Hubei	Wuhan	Zhejiang	Ningbo	0.2
2020-01-07	江西省	宜春市	Hubei	Wuhan	Jiangxi	Yichun	0.2
2020-01-07	湖南省	益阳市	Hubei	Wuhan	Hunan	Yiyang	0.2
2020-01-07	山西省	太原市	Hubei	Wuhan	Shanxi	Taiyuan	0.18
2020-01-07	河南省	漯河市	Hubei	Wuhan	Henan	Luohe	0.18
2020-01-07	海南省	三亚市	Hubei	Wuhan	Hainan	Sanya	0.18
2020-01-07	江苏省	徐州市	Hubei	Wuhan	Jiangsu	Xuzhou	0.18
2020-01-07	江西省	上饶市	Hubei	Wuhan	Jiangxi	Shangrao	0.17
2020-01-07	浙江省	金华市	Hubei	Wuhan	Zhejiang	Jinhua	0.17
2020-01-07	河北省	邯郸市	Hubei	Wuhan	Hebei	Handan	0.17
2020-01-07	江西省	赣州市	Hubei	Wuhan	Jiangxi	Ganzhou	0.17
2020-01-07	河南省	平顶山市	Hubei	Wuhan	Henan	Pingdingshan	0.17
2020-01-07	甘肃省	兰州市	Hubei	Wuhan	Gansu	Lanzhou	0.17
2020-01-07	新疆维吾尔自治区	乌鲁木齐市	Hubei	Wuhan	Xinjiang	Ürümqi	0.16
2020-01-07	辽宁省	大连市	Hubei	Wuhan	Liaoning	Dalian	0.16
2020-01-07	河南省	新乡市	Hubei	Wuhan	Henan	Xinxiang	0.16
2020-01-07	河南省	安阳市	Hubei	Wuhan	Henan	Anyang	0.15
2020-01-07	贵州省	遵义市	Hubei	Wuhan	Guizhou	Zunyi	0.15
2020-01-07	福建省	泉州市	Hubei	Wuhan	Fujian	Quanzhou	0.15
2020-01-07	江苏省	常州市	Hubei	Wuhan	Jiangsu	Changzhou	0.15
2020-01-07	江苏省	南通市	Hubei	Wuhan	Jiangsu	Nantong	0.15
2020-01-07	河北省	保定市	Hubei	Wuhan	Hebei	Baoding	0.14
2020-01-07	山东省	临沂市	Hubei	Wuhan	Shandong	Linyi	0.13
